iter	RMSE
231	91.59059286
232	91.40459135
233	90.9108101
234	90.45225606
235	89.86302319
236	89.70136443
237	89.10601809
238	88.8258042
239	88.21738488
240	88.04570075
241	87.84101065
242	87.36732643
243	86.79699335
244	86.63802992
245	86.48304517
246	86.37163845
247	85.89984853
248	85.51927328
249	85.36993473
250	85.15525216
251	84.8007438
252	84.68831722
253	84.36916663
254	84.0414804
255	83.73335914
256	83.23894975
257	82.84941844
258	82.51518108
259	82.03294204
260	81.57999702
261	81.25641148
262	80.80804897
263	80.50644405
264	80.06765866
265	79.97700689
266	79.88147971
267	79.46174868
268	79.17696702
269	78.87722908
270	78.51492013
271	78.31182201
272	78.0692521
273	77.78258302
274	77.567296
275	77.26362773
276	77.06493324
277	76.9613506
278	76.70264403
279	76.54344625
280	76.32276122
281	76.02808101
282	75.64068316
283	75.54438431
284	75.35510359
285	75.09197279
286	74.74875667
287	74.353068
288	74.02644719
289	73.8062053
290	73.60580737
291	73.27991577
292	72.88517711
293	72.48561363
294	72.42037253
295	72.01886335
296	71.70823937
297	71.42205093
298	71.10407239
299	70.82368652
300	70.77420802
301	70.5914929
302	70.37787859
303	70.3219184
304	70.08045108
305	69.84178424
306	69.64284737
307	69.5726849
308	69.38397463
309	69.2241088
310	68.86562363
311	68.62877088
312	68.41135072
313	68.05938097
314	67.82692452
315	67.61208637
316	67.41155886
317	67.26216989
318	66.94703986
319	66.70578648
320	66.59854719
321	66.38024081
322	66.102133
323	65.94759432
324	65.69920695
325	65.45612607
326	65.18977723
327	64.97991245
328	64.80436188
329	64.67703423
330	64.53242712
331	64.39028019
332	64.20016617
333	63.99165004
334	63.95643117
335	63.78795288
336	63.59920328
337	63.33365897
338	63.15952971
339	62.97992811
340	62.79347999
341	62.5345418
342	62.3195096
343	62.14717993
344	62.02883244
345	61.75418348
346	61.50259373
347	61.39712193
348	61.29614135
349	61.11245729
350	60.96559726
351	60.7552434
352	60.55238608
353	60.36229725
354	60.20928134
355	60.09810265
356	59.88847696
357	59.7771898
358	59.74736247
359	59.56504174
360	59.39882181
361	59.2593189
362	59.10108315
363	58.96509167
364	58.93529499
365	58.67618266
366	58.51104458
367	58.34090265
368	58.14903442
369	58.00908844
370	57.78541274
371	57.62490913
372	57.50342146
373	57.31297999
374	57.11666483
375	56.91207688
376	56.76888392
377	56.69155225
378	56.57307881
379	56.40958964
380	56.20791784
381	56.01775213
382	55.89641853
383	55.66043999
384	55.50068627
385	55.3046999
386	55.12791262
387	54.97360457
388	54.83305444
389	54.73404399
390	54.61416756
391	54.44237505
392	54.2624505
393	54.09022696
394	53.92376648
395	53.80729591
396	53.65721975
397	53.49737932
398	53.32643209
399	53.19050636
400	53.00205604
401	52.84942603
402	52.64557651
403	52.50206033
404	52.41650477
405	52.26930937
406	52.16626298
407	51.99341628
408	51.8821798
409	51.73120988
410	51.58599282
411	51.43523561
412	51.27131861
413	51.11005019
414	50.94620003
415	50.8506684
416	50.73337818
417	50.55063207
418	50.40019996
419	50.30349619
420	50.15322261
421	50.05755541
422	49.87012231
423	49.77050381
424	49.67450548
425	49.52915751
426	49.40429197
427	49.28341938
428	49.21585292
429	49.13621904
430	48.97160256
431	48.80459068
432	48.69090744
433	48.61976373
434	48.47284494
435	48.38954986
436	48.20168938
437	48.052341
438	47.93475623
439	47.79054251
440	47.65928381
441	47.50270985
442	47.32548932
443	47.16108106
444	47.08502433
445	46.96275099
446	46.88372595
447	46.75600013
448	46.64460522
449	46.61962555
450	46.51502774
451	46.36983606
452	46.21266118
453	46.04777694
454	45.99774704
455	45.84751821
456	45.70627253
457	45.58847234
458	45.48903787
459	45.38223728
460	45.29324708
461	45.19097708
462	45.10733009
463	44.96633408
464	44.81926791
465	44.73663394
466	44.65105116
467	44.58230454
468	44.44432394
469	44.32592356
470	44.17230329
471	44.07218721
472	43.96684337
473	43.80345795
474	43.68059382
475	43.59958075
476	43.49563718
477	43.39608726
478	43.27678574
479	43.17781436
480	43.08980638
481	42.97346477
482	42.88609947
483	42.79382501
484	42.69318243
485	42.58585893
486	42.46537129
487	42.42538006
488	42.29511587
489	42.22794675
490	42.09566688
491	42.04097458
492	41.93083842
493	41.83548959
494	41.73033065
495	41.65983245
496	41.57139774
497	41.47585099
498	41.37268538
499	41.30158566
500	41.18023576
501	41.15842698
502	41.14026286
503	41.06475453
504	40.93947803
505	40.85287623
506	40.77963986
507	40.68029976
508	40.58311287
509	40.50695975
510	40.40487327
511	40.30796753
512	40.25651679
513	40.15965437
514	40.10238847
515	39.99347019
516	39.89214972
517	39.80685972
518	39.75196761
519	39.65715533
520	39.54635283
521	39.50226171
522	39.37847471
523	39.28902415
524	39.23887311
525	39.16478713
526	39.10772378
527	39.00758002
528	38.91084369
529	38.80218808
530	38.76133453
531	38.66881943
532	38.5638241
533	38.4804181
534	38.3660188
535	38.26881447
536	38.22770369
537	38.15846171
538	38.08805727
539	38.05916352
540	38.01406015
541	37.92436672
542	37.84867866
543	37.80653271
544	37.68564695
545	37.60653711
546	37.55998972
547	37.46446481
548	37.44352572
549	37.39863908
550	37.31845864
551	37.25170721
552	37.15055465
553	37.07353547
554	37.05487684
555	37.00369094
556	36.93792416
557	36.91929978
558	36.83586842
559	36.72059235
560	36.62577341
561	36.55606117
562	36.46133019
563	36.37610081
564	36.28454989
565	36.22435595
566	36.16209434
567	36.12553347
568	36.06346992
569	35.99934613
570	35.93088876
571	35.85177742
572	35.73837276
573	35.65635286
574	35.55769409
575	35.46872709
576	35.37724875
577	35.31398414
578	35.21716991
579	35.15385985
580	35.14301462
581	35.06187987
582	35.01708475
583	34.93766246
584	34.92933957
585	34.86898118
586	34.77606727
587	34.73034008
588	34.62745226
589	34.61450645
590	34.53034454
591	34.48255707
592	34.44760557
593	34.36091418
594	34.34670557
595	34.33905685
596	34.26114477
597	34.19782185
598	34.12369319
599	34.11150083
600	34.07209301
601	34.01224184
602	33.96554876
603	33.89194277
604	33.80383823
605	33.72317323
606	33.71329882
607	33.69126839
608	33.60163437
609	33.53100222
610	33.46060826
611	33.36901824
612	33.30454916
613	33.22013054
614	33.1505777
615	33.08537426
616	33.00691768
617	32.93583662
618	32.87399201
619	32.83180209
620	32.77823506
621	32.76585703
622	32.73830874
623	32.72475965
624	32.649049
625	32.55484546
626	32.50158584
627	32.42073928
628	32.33294819
629	32.28073627
630	32.26901388
631	32.20466898
632	32.15778817
633	32.07650375
634	32.01161797
635	31.97402674
636	31.9048986
637	31.84012504
638	31.82218633
639	31.79490335
640	31.78425168
641	31.72045566
642	31.66579289
643	31.61930573
644	31.55367942
645	31.54757601
646	31.53829608
647	31.47981591
648	31.46118954
649	31.4133454
650	31.37040795
651	31.32499172
652	31.27190537
653	31.21582065
654	31.11759303
655	31.0392052
656	31.0300281
657	30.95372121
658	30.88815883
659	30.85189779
660	30.83424599
661	30.82713218
662	30.77550989
663	30.75880493
664	30.71825075
665	30.65687048
666	30.61448643
667	30.60994171
668	30.54132189
669	30.50379851
670	30.40180723
671	30.32111974
672	30.24425192
673	30.23683721
674	30.17145197
675	30.10453511
676	30.041259
677	29.99034628
678	29.981459
679	29.92028561
680	29.9108751
681	29.90304049
682	29.82237932
683	29.81649164
684	29.75243035
685	29.68657669
686	29.61893055
687	29.54842593
688	29.49639518
689	29.46460351
690	29.41520792
691	29.40850482
692	29.3639888
693	29.28411942
694	29.26001622
695	29.20252878
696	29.19635422
697	29.11541314
698	29.10945293
699	29.03168875
700	28.9622509
701	28.89688725
702	28.83626924
703	28.78690837
704	28.71974387
705	28.65843745
706	28.60855194
707	28.54954796
708	28.52585029
709	28.46601333
710	28.40672475
711	28.32418862
712	28.29299149
713	28.23854681
714	28.20431203
715	28.19387422
716	28.12610671
717	28.07084412
718	28.00819571
719	27.97044734
720	27.91965703
721	27.87413244
722	27.81861499
723	27.7590726
724	27.70497082
725	27.6308492
726	27.59508065
727	27.52843608
728	27.49305057
729	27.4429848
730	27.38705681
731	27.35161019
732	27.31953826
733	27.23006306
734	27.16946848
735	27.08200986
736	27.01913455
737	26.95862014
738	26.94220947
739	26.9144162
740	26.88954428
741	26.85099208
742	26.84584657
743	26.80044872
744	26.75610922
745	26.75068981
746	26.71881289
747	26.68176156
748	26.63076184
749	26.61520652
750	26.56644513
751	26.52144924
752	26.473328
753	26.46862472
754	26.43498658
755	26.40596163
756	26.37125896
757	26.2982727
758	26.23991118
759	26.16739445
760	26.11458436
761	26.11168876
762	26.07627119
763	26.04114547
764	26.00800285
765	25.99804221
766	25.94758767
767	25.88803284
768	25.80962316
769	25.74515449
770	25.72338155
771	25.69729137
772	25.6265003
773	25.56683533
774	25.53015268
775	25.47911327
776	25.42044429
777	25.39566222
778	25.3439084
779	25.30213086
780	25.24508756
781	25.20572919
782	25.17377531
783	25.13243708
784	25.07247493
785	25.01753774
786	24.9880763
787	24.92881175
788	24.86441029
789	24.83143847
790	24.82914581
791	24.80546729
792	24.77204052
793	24.76854096
794	24.70043523
795	24.68485914
796	24.65353993
797	24.58828546
798	24.54961908
799	24.5418362
800	24.49823973
801	24.44703894
802	24.41684307
803	24.35833719
804	24.30592789
805	24.26121829
806	24.19932025
807	24.16502969
808	24.11989893
809	24.06742191
810	24.03505877
811	23.97411085
812	23.93884973
813	23.89500662
814	23.84236501
815	23.8086382
816	23.77492855
817	23.72465862
818	23.71755719
819	23.67991383
820	23.67719295
821	23.63956564
822	23.61888438
823	23.57423861
824	23.53444355
825	23.49913569
826	23.49515155
827	23.44398296
828	23.40611292
829	23.36739769
830	23.3402969
831	23.28590283
832	23.23220769
833	23.21207581
834	23.15557776
835	23.10337067
836	23.06158621
837	23.04528916
838	23.01934821
839	22.98446334
840	22.96837803
841	22.92884037
842	22.88859187
843	22.84772852
844	22.79710782
845	22.75575849
846	22.73364276
847	22.69261645
848	22.64833118
849	22.59447196
850	22.57536958
851	22.5190155
852	22.47332838
853	22.44210525
854	22.40779067
855	22.35773019
856	22.32449568
857	22.29211653
858	22.23285574
859	22.19605883
860	22.18607797
861	22.15168551
862	22.10804262
863	22.08655759
864	22.04990705
865	22.02826724
866	21.97310722
867	21.94436402
868	21.89099763
869	21.83445432
870	21.79285357
871	21.76694827
872	21.7283219
873	21.68288034
874	21.64121485
875	21.63502674
876	21.60381311
877	21.55887848
878	21.5307372
879	21.481224
880	21.4502728
881	21.41655234
882	21.3834841
883	21.36668702
884	21.33973025
885	21.3356683
886	21.3070073
887	21.25947307
888	21.2330222
889	21.17909311
890	21.1774476
891	21.14731235
892	21.09614466
893	21.08031076
894	21.05679245
895	21.02485203
896	21.00022569
897	20.9692209
898	20.95880245
899	20.94794025
900	20.89167821
901	20.83947336
902	20.80539301
903	20.7929203
904	20.74175838
905	20.70983609
906	20.6694257
907	20.63756204
908	20.59092023
909	20.5358838
910	20.49320321
911	20.44942947
912	20.40521913
913	20.36529972
914	20.32024969
915	20.28693419
916	20.27428828
917	20.25192145
918	20.22001221
919	20.21034202
920	20.1708365
921	20.16051354
922	20.13250106
923	20.10633254
924	20.07659622
925	20.06350371
926	20.04001493
927	19.99907545
928	19.97766858
929	19.96927428
930	19.94119903
931	19.91491089
932	19.87329956
933	19.85397457
934	19.85175861
935	19.83359464
936	19.81207014
937	19.80559686
938	19.79014594
939	19.76445945
940	19.74554659
941	19.71230811
942	19.6781543
943	19.65057366
944	19.62979407
945	19.6058578
946	19.57046178
947	19.5593971
948	19.54683013
949	19.52442382
950	19.50352784
951	19.46200804
952	19.42708086
953	19.3883326
954	19.36003402
955	19.32463323
956	19.29009768
957	19.25632864
958	19.24224374
959	19.20866773
960	19.17666616
961	19.15534006
962	19.13228436
963	19.10696805
964	19.06663339
965	19.02928359
966	18.99083198
967	18.96924525
968	18.91658451
969	18.89323182
970	18.86030283
971	18.81916311
972	18.80807597
973	18.76845026
974	18.7574173
975	18.7293902
976	18.69887382
977	18.69566339
978	18.66309896
979	18.64822443
980	18.63961228
981	18.61234435
982	18.58398554
983	18.55432109
984	18.53633139
985	18.50608786
986	18.48882973
987	18.45481699
988	18.43342639
989	18.39712393
990	18.37476305
991	18.33611867
992	18.28972825
993	18.25618686
994	18.23632036
995	18.19109923
996	18.1590129
997	18.13257651
998	18.10033434
999	18.0807523
